Sorting Algorith Name,Array Length,Num. of Comparisons,Run Time
general_count_sort,200,0,0.0794
selection_sort,400,79800,5.4598
insertion_sort,400,40518,5.0507
merge_sort,400,3488,1.0602
quick_sort,400,399,0.4716
bubble_sort,400,79800,10.0172
optimal_bubble_sort,400,399,0.0353
heap_sort,400,2595,1.3256
general_count_sort,400,0,0.15
selection_sort,800,319600,22.2416
insertion_sort,800,159257,22.8066
merge_sort,800,7776,2.7299
quick_sort,800,799,1.1709
bubble_sort,800,319600,46.8519
optimal_bubble_sort,800,799,0.0761
heap_sort,800,5830,3.4494
general_count_sort,800,0,0.3283
selection_sort,1000,499500,36.7646
insertion_sort,1000,249545,35.3444
merge_sort,1000,9976,2.9488
quick_sort,1000,999,1.5275
bubble_sort,1000,499500,76.3607
optimal_bubble_sort,1000,999,0.0916
heap_sort,1000,7370,4.7951
general_count_sort,1000,0,0.3884
selection_sort,2000,1999000,142.5436
insertion_sort,2000,1006395,149.1792
merge_sort,2000,21952,6.5122
quick_sort,2000,1999,3.5918
bubble_sort,2000,1999000,287.5783
optimal_bubble_sort,2000,1999,0.1717
heap_sort,2000,15946,8.4794
general_count_sort,2000,0,0.8066
selection_sort,100,4950,0.3819
insertion_sort,100,2897,0.3548
merge_sort,100,672,0.2613
quick_sort,100,99,0.1059
bubble_sort,100,4950,0.6413
optimal_bubble_sort,100,99,0.0105
heap_sort,100,461,0.2623
general_count_sort,100,0,0.0672
selection_sort,200,19900,1.3521
insertion_sort,200,8725,1.0641
merge_sort,200,1544,0.5767
quick_sort,200,199,0.2227
bubble_sort,200,19900,2.2709
optimal_bubble_sort,200,199,0.0176
heap_sort,200,1122,0.6096
general_count_sort,200,0,0.0925
selection_sort,400,79800,5.4698
insertion_sort,400,39884,5.017
merge_sort,400,3488,1.1337
quick_sort,400,399,0.5381
bubble_sort,400,79800,9.6266
optimal_bubble_sort,400,399,0.0343
heap_sort,400,2554,1.302
general_count_sort,400,0,0.1433
selection_sort,800,319600,22.2046
insertion_sort,800,154326,20.9355
merge_sort,800,7776,2.4157
quick_sort,800,799,1.456
bubble_sort,800,319600,46.7746
optimal_bubble_sort,800,799,0.0763
heap_sort,800,5775,4.1018
general_count_sort,800,0,0.3045
selection_sort,1000,499500,40.0131
insertion_sort,1000,246625,34.9119
merge_sort,1000,9976,2.9626
